lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.691	36.215	73.99	3.6	3.0	1.9	deepHinduKush
70.719	36.208	74.04	3.4	4.0	1.9	deepHinduKush
69.868	35.995	74.05	3.5	7.5	-	deepHinduKush
71.152	36.528	74.11	3.2	3.2	1.9	deepHinduKush
70.769	36.309	74.14	2.8	5.4	1.9	deepHinduKush
70.861	35.960	74.27	3.9	2.5	1.9	deepHinduKush
70.513	36.166	74.35	3.0	2.6	1.9	deepHinduKush
70.702	36.259	74.41	2.9	3.4	1.9	deepHinduKush
71.151	36.540	74.48	2.8	6.4	1.9	deepHinduKush
69.552	36.337	74.52	4.6	27.3	-	deepHinduKush
69.278	35.932	74.64	3.9	5.3	-	deepHinduKush
69.877	36.089	74.65	2.8	15.0	-	deepHinduKush
70.995	36.462	74.74	2.5	5.8	-	deepHinduKush
70.875	36.471	74.83	2.8	8.5	-	deepHinduKush
71.176	36.510	74.84	3.5	5.0	1.9	deepHinduKush
70.784	36.127	74.86	4.0	2.6	1.9	deepHinduKush
71.550	36.487	74.92	2.5	2.8	-	deepHinduKush
70.079	35.803	74.93	3.4	4.0	-	deepHinduKush
71.158	36.307	74.96	2.9	6.2	1.9	deepHinduKush
70.528	36.163	74.99	4.0	2.6	1.9	deepHinduKush
70.669	36.185	75.13	3.0	2.9	1.9	deepHinduKush
71.397	36.651	75.14	3.1	5.7	1.9	deepHinduKush
71.123	36.076	75.29	2.7	5.7	1.9	deepHinduKush
71.248	36.528	75.30	2.9	3.3	1.9	deepHinduKush
69.800	35.967	75.41	3.1	3.7	1.9	deepHinduKush
71.206	36.457	75.43	3.2	6.7	1.9	deepHinduKush
71.753	36.697	75.45	3.1	4.0	-	deepHinduKush
71.051	36.106	75.50	5.1	6.5	-	deepHinduKush
71.380	36.372	75.50	2.8	2.5	1.9	deepHinduKush
71.327	36.317	75.53	3.0	4.2	1.9	deepHinduKush
71.272	36.502	75.62	3.1	2.9	1.9	deepHinduKush
71.175	36.388	75.65	3.9	4.8	1.9	deepHinduKush
71.009	36.100	75.67	3.2	4.0	1.9	deepHinduKush
70.776	35.983	75.71	3.4	5.3	1.9	deepHinduKush
71.315	36.525	75.72	2.9	4.1	1.9	deepHinduKush
70.697	36.428	75.76	2.4	6.0	-	deepHinduKush
71.576	36.441	75.80	2.2	8.4	-	deepHinduKush
69.868	35.427	75.86	3.5	5.1	-	deepHinduKush
70.439	36.159	75.90	4.4	7.7	1.9	deepHinduKush
70.707	36.211	76.00	3.2	3.3	1.9	deepHinduKush
71.089	36.116	76.00	3.8	4.2	1.9	deepHinduKush
70.516	36.166	76.03	3.9	2.8	1.9	deepHinduKush
71.083	36.165	76.03	2.6	3.3	1.9	deepHinduKush
71.312	36.437	76.03	3.1	3.4	1.9	deepHinduKush
